Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
2000-08-23,92.729164,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-08-24,89.208336,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-08-25,89.041664,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-08-26,88.0,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-08-27,87.09375,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-08-28,86.96875,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-08-29,86.072914,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-08-30,86.145836,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-08-31,85.802086,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-01,88.8125,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-02,110.739586,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-03,175.91667,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-04,128.82292,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-05,133.77083,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-06,150.55208,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-07,118.541664,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-08,110.333336,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-09,106.260414,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-10,103.125,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-11,112.552086,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-12,116.302086,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-13,107.8125,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-14,103.125,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-15,98.729164,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-16,95.75,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-17,94.645836,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-18,94.395836,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-19,94.625,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-20,94.166664,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-21,94.395836,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-22,94.958336,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-23,100.385414,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-24,98.791664,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-09-25,99.125,streamflow,13237920,ft3/s,"['A', '[91]']",0
